sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
嘉義,嘉義市,31,,良好,1.1,0.17,20.7,15.5,28,10,4.8,5.8,1,1.4,107,"2023/07/16 06:00:00",0.1,9.7,26,1,120.44125148,23.46477865,42
新營,臺南市,33,,良好,1.5,0.15,18.2,17.3,26,11,5.3,6.3,0.9,0.9,73,"2023/07/16 06:00:00",0.1,10.2,22,1,120.31725,23.305633,43
善化,臺南市,34,,良好,1.8,0.11,,13,17,10,5.1,5.8,0.6,1.6,131,"2023/07/16 06:00:00",0.1,10.4,16,1,120.29740529,23.11337642,44
安南,臺南市,34,,良好,1.9,0.22,7.9,12.4,26,12,14,15.2,1.2,0.3,66,"2023/07/16 06:00:00",0.2,10.6,24,1,120.2175,23.048197,45
臺南,臺南市,31,,良好,1.3,0.23,15.9,21.7,,10,13.4,14,0.6,0.2,234,"2023/07/16 06:00:00",0.1,9.4,,0,120.22085,22.99123,46
美濃,高雄市,21,,良好,0.1,0.17,12.9,16.1,20,10,4.1,5.1,1,1.2,3,"2023/07/16 06:00:00",0.1,6.6,19,0,120.530542,22.883583,47
橋頭,高雄市,30,,良好,0.8,0.14,15.4,14.6,22,9,5,5.5,0.5,0.9,51,"2023/07/16 06:00:00",0.1,9.3,19,1,120.305689,22.757506,48
仁武,高雄市,37,,良好,0.6,0.24,13.6,16.4,,14,10.6,12,1.4,1.5,17,"2023/07/16 06:00:00",0.1,11.5,,0,120.332631,22.689056,49
鳳山,高雄市,33,,良好,0.7,0.32,8.8,12.8,32,15,11.3,12.7,1.3,0.3,93,"2023/07/16 06:00:00",0.2,10.1,28,1,120.357422,22.628126,50
大寮,高雄市,31,,良好,1.3,0.25,,12.5,30,12,9.8,11.1,1.2,0.8,210,"2023/07/16 06:00:00",0.1,9.4,25,1,120.425311,22.56413611,51
林園,高雄市,27,,良好,1.2,0.23,,18.3,31,13,7.1,7.8,0.7,1.8,25,"2023/07/16 06:00:00",0.1,7.4,27,1,120.41175,22.4795,52
楠梓,高雄市,26,,良好,1.3,0.21,15.3,14.4,24,11,7.6,8,0.3,2.1,59,"2023/07/16 06:00:00",0.1,8.1,22,1,120.328289,22.733667,53
左營,高雄市,30,,良好,1.7,0.28,9.2,11.6,24,10,11.5,14.2,2.6,0.6,28,"2023/07/16 06:00:00",0.2,9.2,22,1,120.292917,22.674861,54
前金,高雄市,30,,良好,1,0.25,13.5,11.6,19,10,10.2,11.2,0.9,1.4,354,"2023/07/16 06:00:00",0.2,9.3,19,1,120.28676111,22.63390278,56
前鎮,高雄市,28,,良好,1,0.27,13.4,11.9,24,13,9.8,11.2,1.3,0.6,357,"2023/07/16 06:00:00",0.2,8.6,21,1,120.30833356,22.6044507,57
小港,高雄市,38,,良好,1.1,0.19,10.8,9.2,18,14,10.2,10.8,0.6,0.8,36,"2023/07/16 06:00:00",0.2,11.8,24,1,120.337736,22.565833,58
屏東,屏東縣,41,,良好,1.1,0.21,9.6,13.1,24,9,7.3,7.9,0.5,0.9,335,"2023/07/16 06:00:00",0.2,12.6,21,1,120.488033,22.673081,59
潮州,屏東縣,35,,良好,0.6,0.17,8.8,13.8,16,8,5.2,6.2,0.9,0.8,5,"2023/07/16 06:00:00",0.1,10.7,18,1,120.561175,22.523108,60
恆春,屏東縣,19,,良好,0,0.07,19.4,21,6,3,0.6,0.8,0.1,5.8,51,"2023/07/16 06:00:00",0,1.7,7,0,120.788928,21.958069,61
臺東,臺東縣,13,,良好,0.4,0.07,9.6,10.1,5,4,2.5,2.8,0.3,2,314,"2023/07/16 06:00:00",0,3.9,7,0,121.15045,22.755358,62
